Transaction_ID,Transaction_Date,Transaction_Date_Only,Transaction_Year,Transaction_Month_Number,Transaction_Month_Name,Transaction_Year_Month,Transaction_Amount,Flagged_Fraud_Amount,Fraudulent,Fraud_Probability,Risk_Score,Risk_Score_Band,Prediction_Label,Fraud_Prediction,Fraud_Status,Risk_Level,High_Risk_Flag,Primary_Risk_Reason,Risk_Reasons,Recommended_Action,Merchant_Category,Payment_Method,Device_Type,Location,Transaction_Type,Time_Risk,Keyword_Risk,Is_International,Is_Night,Suspicious_Keyword,High_Amount_Deviation,International_Night,International_Keyword,Behavioral_Risk_Count,Amount_vs_Average_Spend,Transactions_per_Account_Age
T100017,2023-07-01 12:06:00,2023-07-01,2023,7,July,2023-07,59.51,0.0,0,0.073653,7.37,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Entertainment,NetBanking,Desktop,Kolkata,Domestic,Day,Normal,0,0,No,0,0,0,0,0.185957,0.154728
T100018,2023-07-30 09:36:00,2023-07-30,2023,7,July,2023-07,45.24,0.0,0,0.071892,7.19,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Utilities,Debit Card,Desktop,Mumbai,Domestic,Day,Normal,0,0,No,0,0,0,0,0.099509,0.287698
T100019,2023-12-06 15:34:00,2023-12-06,2023,12,December,2023-12,27.54,27.54,0,0.73111,73.11,High Risk,Fraud,1,Predicted Fraud,High,1,International transaction,International transaction,Immediate Review,Travel,Debit Card,POS,Hyderabad,International,Day,Normal,1,0,No,0,0,0,1,0.137391,0.064851
T100020,2023-08-25 19:33:00,2023-08-25,2023,8,August,2023-08,75.71,0.0,0,0.071892,7.19,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Food,PayPal,Mobile,Kolkata,Domestic,Day,Normal,0,0,No,0,0,0,0,0.23735,0.100585
T100021,2023-01-03 07:09:00,2023-01-03,2023,1,January,2023-01,12.02,0.0,0,0.07738,7.74,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Grocery,Debit Card,Desktop,Mumbai,Domestic,Day,Normal,0,0,No,0,0,0,0,0.092783,0.040516
T100022,2023-02-05 11:58:00,2023-02-05,2023,2,February,2023-02,27.64,0.0,0,0.073653,7.37,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Entertainment,PayPal,Mobile,Bengaluru,Domestic,Day,Normal,0,0,No,0,0,0,0,0.821153,0.206612
T100023,2023-09-21 18:00:00,2023-09-21,2023,9,September,2023-09,36.5,0.0,0,0.071892,7.19,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Grocery,Credit Card,Mobile,Pune,Domestic,Day,Normal,0,0,No,0,0,0,0,0.122891,0.032028
T100024,2023-08-12 04:50:00,2023-08-12,2023,8,August,2023-08,48.71,48.71,0,0.696531,69.65,High Risk,Fraud,1,Predicted Fraud,High,1,Night-time transaction,Night-time transaction,Immediate Review,Grocery,Debit Card,POS,Chennai,Domestic,Night,Normal,0,1,No,0,0,0,1,1.462763,0.058704
T100025,2023-11-08 02:26:00,2023-11-08,2023,11,November,2023-11,123.03,0.0,0,0.683014,68.3,Medium Risk,Legitimate,0,Predicted Legitimate,Medium,0,Night-time transaction,Night-time transaction,Monitor,Electronics,Credit Card,Desktop,Chennai,Domestic,Night,Normal,0,1,No,0,0,0,1,0.337475,0.128062
T100026,2023-02-24 09:47:00,2023-02-24,2023,2,February,2023-02,17.82,0.0,0,0.071892,7.19,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Entertainment,UPI,Desktop,Chennai,Domestic,Day,Normal,0,0,No,0,0,0,0,0.052649,0.225764
T100027,2023-11-11 19:01:00,2023-11-11,2023,11,November,2023-11,57.76,0.0,0,0.073692,7.37,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Travel,PayPal,Mobile,Delhi,Domestic,Day,Normal,0,0,No,0,0,0,0,0.302456,4.324324
T100028,2023-07-23 02:04:00,2023-07-23,2023,7,July,2023-07,71.8,71.8,0,0.697904,69.79,High Risk,Fraud,1,Predicted Fraud,High,1,Night-time transaction,Night-time transaction,Immediate Review,Grocery,UPI,POS,Delhi,Domestic,Night,Normal,0,1,No,0,0,0,1,0.339432,0.081189
T100029,2023-05-19 15:59:00,2023-05-19,2023,5,May,2023-05,3.81,0.0,0,0.071892,7.19,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Health,Debit Card,POS,Bengaluru,Domestic,Day,Normal,0,0,No,0,0,0,0,0.008288,0.093264
T100030,2023-01-18 12:48:00,2023-01-18,2023,1,January,2023-01,74.83,0.0,0,0.071892,7.19,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,High transaction amount deviation,Transaction amount significantly above average,Normal,Electronics,Credit Card,POS,Hyderabad,Domestic,Day,Normal,0,0,No,1,0,0,0,4.551703,0.046914
T100031,2024-01-31 03:23:00,2024-01-31,2024,1,January,2024-01,14.96,14.96,0,0.695028,69.5,High Risk,Fraud,1,Predicted Fraud,High,1,Night-time transaction,Night-time transaction,Immediate Review,Food,Debit Card,Mobile,Delhi,Domestic,Night,Normal,0,1,No,0,0,0,1,0.052304,0.074926
T100032,2023-10-11 01:37:00,2023-10-11,2023,10,October,2023-10,5.38,5.38,1,0.780872,78.09,High Risk,Fraud,1,Predicted Fraud,High,1,Multiple behavioral risk indicators,Night-time transaction | Suspicious keyword detected | Multiple behavioral risk indicators,Immediate Review,Grocery,UPI,Mobile,Mumbai,Domestic,Night,Suspicious Keyword,0,1,Yes,0,0,0,2,0.011634,0.087855
T100033,2023-12-04 17:57:00,2023-12-04,2023,12,December,2023-12,237.9,0.0,0,0.073653,7.37,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Utilities,Debit Card,Desktop,Kolkata,Domestic,Day,Normal,0,0,No,0,0,0,0,0.519602,1.1
T100034,2023-10-20 22:48:00,2023-10-20,2023,10,October,2023-10,269.65,0.0,0,0.071892,7.19,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Grocery,NetBanking,POS,Pune,Domestic,Day,Normal,0,0,No,0,0,0,0,0.909505,0.215442
T100035,2023-03-17 09:52:00,2023-03-17,2023,3,March,2023-03,132.19,0.0,0,0.071892,7.19,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Electronics,UPI,Mobile,Bengaluru,Domestic,Day,Normal,0,0,No,0,0,0,0,0.671697,0.065512
T100036,2023-07-31 16:19:00,2023-07-31,2023,7,July,2023-07,29.06,0.0,0,0.071892,7.19,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Travel,Debit Card,POS,Kolkata,Domestic,Day,Normal,0,0,No,0,0,0,0,0.497092,0.168421
T100037,2023-04-01 07:08:00,2023-04-01,2023,4,April,2023-04,8.22,0.0,0,0.076608,7.66,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Health,Credit Card,Mobile,Hyderabad,Domestic,Day,Normal,0,0,No,0,0,0,0,0.08639,0.118534
T100038,2024-01-23 20:25:00,2024-01-23,2024,1,January,2024-01,92.22,0.0,0,0.071892,7.19,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Utilities,Debit Card,Desktop,Kolkata,Domestic,Day,Normal,0,0,No,0,0,0,0,0.268832,0.04012
T100039,2023-11-15 13:59:00,2023-11-15,2023,11,November,2023-11,46.41,0.0,0,0.071892,7.19,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,High transaction amount deviation,Transaction amount significantly above average,Normal,Food,Credit Card,POS,Mumbai,Domestic,Day,Normal,0,0,No,1,0,0,0,2.557025,0.101921
T100040,2023-05-20 06:51:00,2023-05-20,2023,5,May,2023-05,10.41,10.41,0,0.696361,69.64,High Risk,Fraud,1,Predicted Fraud,High,1,International transaction,International transaction,Immediate Review,Utilities,NetBanking,Mobile,Chennai,International,Day,Normal,1,0,No,0,0,0,1,0.023504,0.114878
T100041,2023-07-09 03:30:00,2023-07-09,2023,7,July,2023-07,54.68,54.68,0,0.706028,70.6,High Risk,Fraud,1,Predicted Fraud,High,1,Night-time transaction,Night-time transaction,Immediate Review,Grocery,Debit Card,POS,Delhi,Domestic,Night,Normal,0,1,No,0,0,0,1,0.183435,0.045216
T100042,2023-02-14 13:13:00,2023-02-14,2023,2,February,2023-02,2.8,0.0,0,0.071892,7.19,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Travel,NetBanking,Mobile,Mumbai,Domestic,Day,Normal,0,0,No,0,0,0,0,0.087173,0.111818
T100043,2023-11-28 15:15:00,2023-11-28,2023,11,November,2023-11,192.03,0.0,0,0.071892,7.19,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Entertainment,UPI,Mobile,Hyderabad,Domestic,Day,Normal,0,0,No,0,0,0,0,1.506236,0.015225
T100044,2024-02-01 09:14:00,2024-02-01,2024,2,February,2024-02,23.96,0.0,0,0.073653,7.37,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Health,Credit Card,Mobile,Bengaluru,Domestic,Day,Normal,0,0,No,0,0,0,0,0.079559,0.101874
T100045,2023-09-05 19:28:00,2023-09-05,2023,9,September,2023-09,86.9,0.0,0,0.073653,7.37,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,High transaction amount deviation,Transaction amount significantly above average,Normal,Entertainment,UPI,POS,Kolkata,Domestic,Day,Normal,0,0,No,1,0,0,0,3.16691,0.120988
T100046,2023-08-25 11:16:00,2023-08-25,2023,8,August,2023-08,29.88,0.0,0,0.071892,7.19,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Health,Credit Card,Mobile,Mumbai,Domestic,Day,Normal,0,0,No,0,0,0,0,0.076188,0.073543
T100047,2024-02-20 11:11:00,2024-02-20,2024,2,February,2024-02,58.73,0.0,0,0.071892,7.19,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Food,NetBanking,Desktop,Bengaluru,Domestic,Day,Normal,0,0,No,0,0,0,0,0.127463,0.110424
T100048,2023-08-26 14:51:00,2023-08-26,2023,8,August,2023-08,63.3,0.0,0,0.071892,7.19,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Fashion,PayPal,POS,Chennai,Domestic,Day,Normal,0,0,No,0,0,0,0,0.131601,0.061303
T100049,2023-09-18 19:18:00,2023-09-18,2023,9,September,2023-09,16.35,0.0,0,0.071892,7.19,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Health,Debit Card,Desktop,Hyderabad,Domestic,Day,Normal,0,0,No,0,0,0,0,0.04425,0.172073
T100050,2023-06-19 13:21:00,2023-06-19,2023,6,June,2023-06,279.42,0.0,0,0.071892,7.19,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Fashion,NetBanking,Desktop,Hyderabad,Domestic,Day,Normal,0,0,No,0,0,0,0,0.650056,0.145911
T100051,2023-04-17 07:52:00,2023-04-17,2023,4,April,2023-04,119.38,0.0,0,0.074782,7.48,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Entertainment,Credit Card,POS,Kolkata,Domestic,Day,Normal,0,0,No,0,0,0,0,0.386031,0.031226
T100052,2023-02-26 13:39:00,2023-02-26,2023,2,February,2023-02,224.41,0.0,0,0.072677,7.27,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Health,Credit Card,Mobile,Delhi,Domestic,Day,Normal,0,0,No,0,0,0,0,0.956198,0.222698
T100053,2023-11-13 01:08:00,2023-11-13,2023,11,November,2023-11,180.17,180.17,0,0.693965,69.4,High Risk,Fraud,1,Predicted Fraud,High,1,Night-time transaction,Night-time transaction,Immediate Review,Food,Credit Card,Desktop,Pune,Domestic,Night,Normal,0,1,No,0,0,0,1,0.501252,0.128053
T100054,2023-12-26 23:27:00,2023-12-26,2023,12,December,2023-12,72.88,0.0,0,0.071892,7.19,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Electronics,Credit Card,POS,Hyderabad,Domestic,Day,Normal,0,0,No,0,0,0,0,0.608093,0.122051
T100055,2024-01-22 12:52:00,2024-01-22,2024,1,January,2024-01,203.95,203.95,0,0.821152,82.12,High Risk,Fraud,1,Predicted Fraud,High,1,Suspicious keyword detected,Suspicious keyword detected | Transaction amount significantly above average,Immediate Review,Food,Debit Card,Mobile,Mumbai,Domestic,Day,Suspicious Keyword,0,0,Yes,1,0,0,1,3.19721,0.105103
T100056,2023-09-13 20:55:00,2023-09-13,2023,9,September,2023-09,7.41,0.0,0,0.072896,7.29,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Food,UPI,POS,Mumbai,Domestic,Day,Normal,0,0,No,0,0,0,0,0.019332,0.214907
T100057,2023-11-15 17:01:00,2023-11-15,2023,11,November,2023-11,17.45,0.0,0,0.071892,7.19,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Electronics,PayPal,POS,Mumbai,Domestic,Day,Normal,0,0,No,0,0,0,0,0.036391,0.170213
T100058,2023-04-02 13:38:00,2023-04-02,2023,4,April,2023-04,3.7,0.0,0,0.073653,7.37,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Electronics,Debit Card,POS,Chennai,Domestic,Day,Normal,0,0,No,0,0,0,0,0.01263,0.435897
T100059,2023-12-20 15:31:00,2023-12-20,2023,12,December,2023-12,31.48,0.0,0,0.071892,7.19,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Travel,Credit Card,Mobile,Hyderabad,Domestic,Day,Normal,0,0,No,0,0,0,0,0.127734,0.060678
T100060,2023-09-15 21:56:00,2023-09-15,2023,9,September,2023-09,39.37,0.0,0,0.071892,7.19,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Health,Debit Card,Desktop,Hyderabad,Domestic,Day,Normal,0,0,No,0,0,0,0,0.144817,0.695187
T100061,2023-01-24 00:12:00,2023-01-24,2023,1,January,2023-01,25.32,25.32,0,0.701239,70.12,High Risk,Fraud,1,Predicted Fraud,High,1,Night-time transaction,Night-time transaction,Immediate Review,Entertainment,NetBanking,Desktop,Mumbai,Domestic,Night,Normal,0,1,No,0,0,0,1,0.103579,0.16165
T100062,2023-11-03 06:55:00,2023-11-03,2023,11,November,2023-11,141.16,0.0,0,0.085426,8.54,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Travel,Credit Card,POS,Kolkata,Domestic,Day,Normal,0,0,No,0,0,0,0,0.622728,0.132841
T100063,2023-04-05 16:54:00,2023-04-05,2023,4,April,2023-04,35.3,0.0,0,0.074456,7.45,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Electronics,PayPal,POS,Delhi,Domestic,Day,Normal,0,0,No,0,0,0,0,0.074465,0.074319
T100064,2023-10-18 08:06:00,2023-10-18,2023,10,October,2023-10,26.38,0.0,0,0.074782,7.48,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Fashion,Credit Card,Mobile,Kolkata,Domestic,Day,Normal,0,0,No,0,0,0,0,0.107638,0.340974
T100065,2023-03-15 20:47:00,2023-03-15,2023,3,March,2023-03,62.59,0.0,0,0.072677,7.27,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Entertainment,PayPal,POS,Delhi,Domestic,Day,Normal,0,0,No,0,0,0,0,1.258343,0.086055
T100066,2023-09-09 16:36:00,2023-09-09,2023,9,September,2023-09,12.15,0.0,0,0.073653,7.37,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Fashion,PayPal,POS,Hyderabad,Domestic,Day,Normal,0,0,No,0,0,0,0,0.03155,0.131474
T100067,2023-03-18 08:53:00,2023-03-18,2023,3,March,2023-03,129.64,0.0,0,0.074782,7.48,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Food,UPI,POS,Kolkata,Domestic,Day,Normal,0,0,No,0,0,0,0,0.642195,0.42
T100068,2023-04-25 10:57:00,2023-04-25,2023,4,April,2023-04,6.2,6.2,0,0.710257,71.03,High Risk,Fraud,1,Predicted Fraud,High,1,International transaction,International transaction,Immediate Review,Grocery,UPI,Desktop,Hyderabad,International,Day,Normal,1,0,No,0,0,0,1,0.017307,0.029762
T100069,2023-08-02 03:27:00,2023-08-02,2023,8,August,2023-08,346.73,346.73,0,0.722609,72.26,High Risk,Fraud,1,Predicted Fraud,High,1,Night-time transaction,Night-time transaction,Immediate Review,Food,Debit Card,POS,Bengaluru,Domestic,Night,Normal,0,1,No,0,0,0,1,1.179394,0.035562
T100070,2023-12-04 14:21:00,2023-12-04,2023,12,December,2023-12,118.36,0.0,0,0.073653,7.37,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Food,Debit Card,Desktop,Hyderabad,Domestic,Day,Normal,0,0,No,0,0,0,0,0.329272,0.041173
T100071,2023-06-11 14:22:00,2023-06-11,2023,6,June,2023-06,17.72,0.0,0,0.072896,7.29,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Grocery,PayPal,Mobile,Kolkata,Domestic,Day,Normal,0,0,No,0,0,0,0,0.438831,0.076543
T100072,2023-08-31 22:22:00,2023-08-31,2023,8,August,2023-08,0.44,0.0,0,0.071892,7.19,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Health,Credit Card,Mobile,Mumbai,Domestic,Day,Normal,0,0,No,0,0,0,0,0.016541,0.015805
T100073,2023-08-08 04:50:00,2023-08-08,2023,8,August,2023-08,135.19,135.19,0,0.707383,70.74,High Risk,Fraud,1,Predicted Fraud,High,1,Night-time transaction,Night-time transaction,Immediate Review,Electronics,NetBanking,Desktop,Pune,Domestic,Night,Normal,0,1,No,0,0,0,1,0.691544,0.07083
T100074,2023-05-25 23:41:00,2023-05-25,2023,5,May,2023-05,98.17,0.0,0,0.071892,7.19,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Fashion,NetBanking,Desktop,Chennai,Domestic,Day,Normal,0,0,No,0,0,0,0,0.280766,0.128533
T100075,2023-12-21 08:54:00,2023-12-21,2023,12,December,2023-12,104.45,0.0,0,0.075537,7.55,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Food,Credit Card,Desktop,Hyderabad,Domestic,Day,Normal,0,0,No,0,0,0,0,0.873328,0.479452
T100076,2024-02-17 20:42:00,2024-02-17,2024,2,February,2024-02,118.02,0.0,0,0.071892,7.19,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Grocery,Credit Card,Desktop,Hyderabad,Domestic,Day,Normal,0,0,No,0,0,0,0,0.530737,0.04538
T100077,2023-08-11 04:49:00,2023-08-11,2023,8,August,2023-08,6.15,0.0,0,0.633292,63.33,Medium Risk,Legitimate,0,Predicted Legitimate,Medium,0,Night-time transaction,Night-time transaction,Monitor,Travel,UPI,POS,Mumbai,Domestic,Night,Normal,0,1,No,0,0,0,1,0.012536,0.151479
T100078,2023-09-14 23:55:00,2023-09-14,2023,9,September,2023-09,35.51,0.0,0,0.071892,7.19,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Food,NetBanking,Desktop,Bengaluru,Domestic,Day,Normal,0,0,No,0,0,0,0,0.308006,0.014205
T100079,2023-10-26 18:15:00,2023-10-26,2023,10,October,2023-10,9.85,0.0,0,0.071892,7.19,Low Risk,Legitimate,0,Predicted Legitimate,Low,0,No major risk indicator,No major behavioral risk indicators,Normal,Fashion,PayPal,Desktop,Pune,Domestic,Day,Normal,0,0,No,0,0,0,0,0.02315,0.03937
T100080,2023-01-13 03:23:00,2023-01-13,2023,1,January,2023-01,159.08,0.0,0,0.652104,65.21,Medium Risk,Legitimate,0,Predicted Legitimate,Medium,0,Night-time transaction,Night-time transaction,Monitor,Electronics,Debit Card,Desktop,Hyderabad,Domestic,Night,Normal,0,1,No,0,0,0,1,0.383806,0.104965
