Transaction_ID,Customer_ID,Transaction_Date,Transaction_Amount,Merchant_Category,Payment_Method,Device_Type,Location,Is_International,Previous_Transactions,Average_Spend,Account_Age_Days,Suspicious_Keyword,Fraudulent,Transaction_Hour,Transaction_Day,Transaction_Month,Day_of_Week,Is_Weekend,Amount_vs_Average_Spend,Transactions_per_Account_Age
T100022,CUST4900,2023-02-05 11:58:00,27.64,Entertainment,PayPal,Mobile,Bengaluru,0,75,33.66,363,No,0,11,5,2,Sunday,1,0.8211527035056447,0.2066115702479339
T100023,CUST3087,2023-09-21 18:00:00,36.5,Grocery,Credit Card,Mobile,Pune,0,36,297.01,1124,No,0,18,21,9,Thursday,0,0.12289148513518064,0.03202846975088968
T100024,CUST7223,2023-08-12 04:50:00,48.71,Grocery,Debit Card,POS,Chennai,0,29,33.3,494,No,0,4,12,8,Saturday,1,1.4627627627627628,0.058704453441295545
T100025,CUST3347,2023-11-08 02:26:00,123.03,Electronics,Credit Card,Desktop,Chennai,0,183,364.56,1429,No,0,2,8,11,Wednesday,0,0.33747531270572745,0.12806158152554234
T100026,CUST9119,2023-02-24 09:47:00,17.82,Entertainment,UPI,Desktop,Chennai,0,170,338.47,753,No,0,9,24,2,Friday,0,0.05264868378290542,0.22576361221779548
T100027,CUST8120,2023-11-11 19:01:00,57.76,Travel,PayPal,Mobile,Delhi,0,160,190.97,37,No,0,19,11,11,Saturday,1,0.3024558831230036,4.324324324324325
T100028,CUST4506,2023-07-23 02:04:00,71.8,Grocery,UPI,POS,Delhi,0,142,211.53,1749,No,0,2,23,7,Sunday,1,0.33943175908854534,0.08118925100057175
T100029,CUST7707,2023-05-19 15:59:00,3.81,Health,Debit Card,POS,Bengaluru,0,18,459.7,193,No,0,15,19,5,Friday,0,0.008288013922123125,0.09326424870466321
T100030,CUST2161,2023-01-18 12:48:00,74.83,Electronics,Credit Card,POS,Hyderabad,0,38,16.44,810,No,0,12,18,1,Wednesday,0,4.551703163017031,0.04691358024691358
T100031,CUST1325,2024-01-31 03:23:00,14.96,Food,Debit Card,Mobile,Delhi,0,101,286.02,1348,No,0,3,31,1,Wednesday,0,0.052304034682889314,0.07492581602373888
T100032,CUST3979,2023-10-11 01:37:00,5.38,Grocery,UPI,Mobile,Mumbai,0,34,462.45,387,Yes,1,1,11,10,Wednesday,0,0.011633690128662558,0.08785529715762273
T100033,CUST5190,2023-12-04 17:57:00,237.9,Utilities,Debit Card,Desktop,Kolkata,0,121,457.85,110,No,0,17,4,12,Monday,0,0.5196024898984384,1.1
T100034,CUST3166,2023-10-20 22:48:00,269.65,Grocery,NetBanking,POS,Pune,0,173,296.48,803,No,0,22,20,10,Friday,0,0.9095048569886669,0.21544209215442092
T100035,CUST3576,2023-03-17 09:52:00,132.19,Electronics,UPI,Mobile,Bengaluru,0,87,196.8,1328,No,0,9,17,3,Friday,0,0.6716971544715447,0.06551204819277108
T100036,CUST1493,2023-07-31 16:19:00,29.06,Travel,Debit Card,POS,Kolkata,0,160,58.46,950,No,0,16,31,7,Monday,0,0.49709202873759833,0.16842105263157894
T100037,CUST8245,2023-04-01 07:08:00,8.22,Health,Credit Card,Mobile,Hyderabad,0,110,95.15,928,No,0,7,1,4,Saturday,1,0.08638991066736731,0.11853448275862069
T100038,CUST3909,2024-01-23 20:25:00,92.22,Utilities,Debit Card,Desktop,Kolkata,0,67,343.04,1670,No,0,20,23,1,Tuesday,0,0.26883162313432835,0.040119760479041915
T100039,CUST1360,2023-11-15 13:59:00,46.41,Food,Credit Card,POS,Mumbai,0,191,18.15,1874,No,0,13,15,11,Wednesday,0,2.55702479338843,0.10192102454642477
T100040,CUST2212,2023-05-20 06:51:00,10.41,Utilities,NetBanking,Mobile,Chennai,1,183,442.91,1593,No,0,6,20,5,Saturday,1,0.023503646338985346,0.11487758945386065
T100041,CUST3656,2023-07-09 03:30:00,54.68,Grocery,Debit Card,POS,Delhi,0,43,298.09,951,No,0,3,9,7,Sunday,1,0.18343453319467276,0.0452155625657203
T100042,CUST3592,2023-02-14 13:13:00,2.8,Travel,NetBanking,Mobile,Mumbai,0,123,32.12,1100,No,0,13,14,2,Tuesday,0,0.08717310087173101,0.11181818181818182
T100043,CUST8635,2023-11-28 15:15:00,192.03,Entertainment,UPI,Mobile,Hyderabad,0,22,127.49,1445,No,0,15,28,11,Tuesday,0,1.5062357831986823,0.01522491349480969
T100044,CUST5983,2024-02-01 09:14:00,23.96,Health,Credit Card,Mobile,Bengaluru,0,87,301.16,854,No,0,9,1,2,Thursday,0,0.07955903838491167,0.10187353629976581
T100045,CUST2739,2023-09-05 19:28:00,86.9,Entertainment,UPI,POS,Kolkata,0,196,27.44,1620,No,0,19,5,9,Tuesday,0,3.1669096209912535,0.12098765432098765
T100046,CUST9003,2023-08-25 11:16:00,29.88,Health,Credit Card,Mobile,Mumbai,0,77,392.19,1047,No,0,11,25,8,Friday,0,0.07618756215099824,0.07354345749761222
T100047,CUST2821,2024-02-20 11:11:00,58.73,Food,NetBanking,Desktop,Bengaluru,0,125,460.76,1132,No,0,11,20,2,Tuesday,0,0.1274633214688775,0.11042402826855123
T100048,CUST9659,2023-08-26 14:51:00,63.3,Fashion,PayPal,POS,Chennai,0,96,481.0,1566,No,0,14,26,8,Saturday,1,0.1316008316008316,0.06130268199233716
T100049,CUST2346,2023-09-18 19:18:00,16.35,Health,Debit Card,Desktop,Hyderabad,0,122,369.49,709,No,0,19,18,9,Monday,0,0.04425018268424044,0.17207334273624825
T100050,CUST5035,2023-06-19 13:21:00,279.42,Fashion,NetBanking,Desktop,Hyderabad,0,157,429.84,1076,No,0,13,19,6,Monday,0,0.6500558347292016,0.14591078066914498
T100051,CUST9085,2023-04-17 07:52:00,119.38,Entertainment,Credit Card,POS,Kolkata,0,40,309.25,1281,No,0,7,17,4,Monday,0,0.38603071948261924,0.0312256049960968
T100052,CUST8966,2023-02-26 13:39:00,224.41,Health,Credit Card,Mobile,Delhi,0,104,234.69,467,No,0,13,26,2,Sunday,1,0.9561975371767012,0.22269807280513917
T100053,CUST2691,2023-11-13 01:08:00,180.17,Food,Credit Card,Desktop,Pune,0,173,359.44,1351,No,0,1,13,11,Monday,0,0.5012519474738482,0.12805329385640266
T100054,CUST8792,2023-12-26 23:27:00,72.88,Electronics,Credit Card,POS,Hyderabad,0,119,119.85,975,No,0,23,26,12,Tuesday,0,0.6080934501460158,0.12205128205128205
T100055,CUST4298,2024-01-22 12:52:00,203.95,Food,Debit Card,Mobile,Mumbai,0,138,63.79,1313,Yes,0,12,22,1,Monday,0,3.1972095939802476,0.1051028179741051
T100056,CUST3212,2023-09-13 20:55:00,7.41,Food,UPI,POS,Mumbai,0,173,383.31,805,No,0,20,13,9,Wednesday,0,0.019331611489395006,0.21490683229813665
T100057,CUST7028,2023-11-15 17:01:00,17.45,Electronics,PayPal,POS,Mumbai,0,120,479.51,705,No,0,17,15,11,Wednesday,0,0.03639131613522137,0.1702127659574468
T100058,CUST2571,2023-04-02 13:38:00,3.7,Electronics,Debit Card,POS,Chennai,0,17,292.96,39,No,0,13,2,4,Sunday,1,0.01262971054068815,0.4358974358974359
T100059,CUST5418,2023-12-20 15:31:00,31.48,Travel,Credit Card,Mobile,Hyderabad,0,102,246.45,1681,No,0,15,20,12,Wednesday,0,0.12773382024751473,0.06067816775728733
T100060,CUST4067,2023-09-15 21:56:00,39.37,Health,Debit Card,Desktop,Hyderabad,0,130,271.86,187,No,0,21,15,9,Friday,0,0.14481718531597143,0.6951871657754011
T100061,CUST2426,2023-01-24 00:12:00,25.32,Entertainment,NetBanking,Desktop,Mumbai,0,145,244.45,897,No,0,0,24,1,Tuesday,0,0.10357946410308858,0.1616499442586399
T100062,CUST9284,2023-11-03 06:55:00,141.16,Travel,Credit Card,POS,Kolkata,0,108,226.68,813,No,0,6,3,11,Friday,0,0.6227280748191283,0.13284132841328414
T100063,CUST2607,2023-04-05 16:54:00,35.3,Electronics,PayPal,POS,Delhi,0,90,474.05,1211,No,0,16,5,4,Wednesday,0,0.07446471891150722,0.07431874483897605
T100064,CUST3042,2023-10-18 08:06:00,26.38,Fashion,Credit Card,Mobile,Kolkata,0,119,245.08,349,No,0,8,18,10,Wednesday,0,0.10763832218051247,0.34097421203438394
T100065,CUST7186,2023-03-15 20:47:00,62.59,Entertainment,PayPal,POS,Delhi,0,166,49.74,1929,No,0,20,15,3,Wednesday,0,1.2583433856051467,0.08605495075168482
T100066,CUST3125,2023-09-09 16:36:00,12.15,Fashion,PayPal,POS,Hyderabad,0,165,385.1,1255,No,0,16,9,9,Saturday,1,0.03155024668917164,0.13147410358565736
T100067,CUST4819,2023-03-18 08:53:00,129.64,Food,UPI,POS,Kolkata,0,63,201.87,150,No,0,8,18,3,Saturday,1,0.64219547233368,0.42
T100068,CUST9580,2023-04-25 10:57:00,6.2,Grocery,UPI,Desktop,Hyderabad,1,5,358.24,168,No,0,10,25,4,Tuesday,0,0.017306833407771328,0.02976190476190476
T100069,CUST1147,2023-08-02 03:27:00,346.73,Food,Debit Card,POS,Bengaluru,0,25,293.99,703,No,0,3,2,8,Wednesday,0,1.1793938569339093,0.03556187766714083
T100070,CUST6606,2023-12-04 14:21:00,118.36,Food,Debit Card,Desktop,Hyderabad,0,73,359.46,1773,No,0,14,4,12,Monday,0,0.3292716853057364,0.04117315284827975
T100071,CUST5408,2023-06-11 14:22:00,17.72,Grocery,PayPal,Mobile,Kolkata,0,124,40.38,1620,No,0,14,11,6,Sunday,1,0.4388311045071817,0.07654320987654321
T100072,CUST5894,2023-08-31 22:22:00,0.44,Health,Credit Card,Mobile,Mumbai,0,22,26.6,1392,No,0,22,31,8,Thursday,0,0.016541353383458645,0.015804597701149427
T100073,CUST2246,2023-08-08 04:50:00,135.19,Electronics,NetBanking,Desktop,Pune,0,93,195.49,1313,No,0,4,8,8,Tuesday,0,0.6915443245178781,0.07083015993907082
T100074,CUST1724,2023-05-25 23:41:00,98.17,Fashion,NetBanking,Desktop,Chennai,0,191,349.65,1486,No,0,23,25,5,Thursday,0,0.2807664807664808,0.1285329744279946
T100075,CUST7806,2023-12-21 08:54:00,104.45,Food,Credit Card,Desktop,Hyderabad,0,35,119.6,73,No,0,8,21,12,Thursday,0,0.8733277591973245,0.4794520547945205
T100076,CUST7508,2024-02-17 20:42:00,118.02,Grocery,Credit Card,Desktop,Hyderabad,0,55,222.37,1212,No,0,20,17,2,Saturday,1,0.5307370598551963,0.04537953795379538
T100077,CUST8906,2023-08-11 04:49:00,6.15,Travel,UPI,POS,Mumbai,0,128,490.6,845,No,0,4,11,8,Friday,0,0.012535670607419487,0.1514792899408284
T100078,CUST5054,2023-09-14 23:55:00,35.51,Food,NetBanking,Desktop,Bengaluru,0,20,115.29,1408,No,0,23,14,9,Thursday,0,0.30800589816983254,0.014204545454545454
T100079,CUST3837,2023-10-26 18:15:00,9.85,Fashion,PayPal,Desktop,Pune,0,5,425.49,127,No,0,18,26,10,Thursday,0,0.023149780253354953,0.03937007874015748
T100080,CUST5115,2023-01-13 03:23:00,159.08,Electronics,Debit Card,Desktop,Hyderabad,0,167,414.48,1591,No,0,3,13,1,Friday,0,0.3838062150164061,0.1049654305468259
T100081,CUST7480,2023-02-09 10:27:00,78.1,Food,UPI,POS,Delhi,0,63,446.76,1924,No,0,10,9,2,Thursday,0,0.17481421792461277,0.032744282744282746
T100082,CUST6297,2024-02-07 09:51:00,32.15,Food,NetBanking,POS,Delhi,0,32,458.42,1763,No,0,9,7,2,Wednesday,0,0.0701321931852886,0.018150879183210438
T100083,CUST4338,2023-11-05 08:49:00,5.25,Health,Credit Card,POS,Delhi,0,191,258.59,1662,Yes,0,8,5,11,Sunday,1,0.020302409219227352,0.11492178098676294
T100084,CUST8393,2023-01-29 21:17:00,29.8,Utilities,NetBanking,Mobile,Chennai,0,74,344.15,268,No,0,21,29,1,Sunday,1,0.08659014964405057,0.27611940298507465
T100085,CUST3641,2023-09-09 13:55:00,31.47,Grocery,PayPal,POS,Chennai,0,168,313.26,504,No,0,13,9,9,Saturday,1,0.1004596820532465,0.3333333333333333
T100086,CUST6597,2023-02-25 19:33:00,104.63,Travel,UPI,Desktop,Pune,0,145,161.38,553,No,0,19,25,2,Saturday,1,0.6483455198909406,0.26220614828209765
T100087,CUST1897,2023-03-02 18:46:00,81.19,Travel,Credit Card,POS,Hyderabad,0,101,147.1,586,Yes,0,18,2,3,Thursday,0,0.5519374575118967,0.17235494880546076
T100088,CUST1518,2024-01-24 00:05:00,174.58,Entertainment,PayPal,POS,Hyderabad,0,79,177.37,1445,Yes,1,0,24,1,Wednesday,0,0.9842701697017534,0.05467128027681661
T100089,CUST2994,2023-06-16 08:07:00,51.13,Electronics,Debit Card,Desktop,Hyderabad,0,160,117.04,38,No,0,8,16,6,Friday,0,0.4368591934381408,4.2105263157894735
T100090,CUST1456,2023-10-11 18:48:00,10.19,Entertainment,UPI,POS,Chennai,0,23,381.12,1566,No,0,18,11,10,Wednesday,0,0.026736985726280436,0.014687100893997445
T100091,CUST8947,2023-03-26 22:06:00,99.93,Fashion,PayPal,Mobile,Pune,0,188,482.64,1442,Yes,0,22,26,3,Sunday,1,0.20704873197414222,0.130374479889043
T100092,CUST6459,2023-05-18 22:53:00,114.43,Electronics,PayPal,POS,Hyderabad,0,56,435.21,1892,No,0,22,18,5,Thursday,0,0.2629305392798879,0.02959830866807611
T100093,CUST8530,2023-04-24 01:43:00,65.91,Food,Credit Card,Mobile,Mumbai,0,137,116.79,1263,No,0,1,24,4,Monday,0,0.5643462625224762,0.10847189231987332
T100094,CUST6489,2023-09-28 06:34:00,117.91,Utilities,Debit Card,Mobile,Bengaluru,1,106,35.44,1107,No,1,6,28,9,Thursday,0,3.3270316027088036,0.0957542908762421
T100095,CUST6062,2023-06-09 08:48:00,54.47,Food,PayPal,Mobile,Kolkata,1,69,380.98,645,No,1,8,9,6,Friday,0,0.14297338442962884,0.10697674418604651
T100096,CUST8011,2023-06-19 06:45:00,59.17,Travel,UPI,Desktop,Delhi,0,190,201.2,181,No,0,6,19,6,Monday,0,0.2940854870775348,1.0497237569060773
T100097,CUST6512,2023-10-27 02:52:00,44.63,Fashion,PayPal,POS,Delhi,0,192,414.06,439,No,0,2,27,10,Friday,0,0.10778631116263344,0.43735763097949887
T100098,CUST5854,2024-01-21 05:46:00,2.06,Grocery,NetBanking,Mobile,Mumbai,1,22,391.83,39,No,0,5,21,1,Sunday,1,0.005257382027920272,0.5641025641025641
T100099,CUST1730,2023-07-15 22:54:00,9.13,Fashion,UPI,Mobile,Hyderabad,0,32,316.45,986,No,0,22,15,7,Saturday,1,0.02885131932374783,0.032454361054766734
T100100,CUST3365,2023-05-03 11:18:00,2.55,Food,UPI,POS,Pune,0,175,135.12,581,No,0,11,3,5,Wednesday,0,0.01887211367673179,0.30120481927710846
T100101,CUST4125,2023-03-23 08:47:00,80.94,Grocery,PayPal,Desktop,Pune,0,2,60.98,585,No,0,8,23,3,Thursday,0,1.327320432928829,0.003418803418803419
T100102,CUST8316,2023-03-16 20:08:00,30.19,Fashion,Credit Card,Desktop,Chennai,0,123,133.8,909,No,0,20,16,3,Thursday,0,0.2256352765321375,0.1353135313531353
T100103,CUST9981,2023-04-12 20:40:00,56.83,Utilities,UPI,Mobile,Hyderabad,0,85,259.78,297,No,0,20,12,4,Wednesday,0,0.21876202940950037,0.28619528619528617
T100104,CUST3591,2024-02-11 11:14:00,190.5,Utilities,NetBanking,Desktop,Pune,0,180,489.94,1043,No,0,11,11,2,Sunday,1,0.3888231211985141,0.1725790987535954
T100105,CUST7521,2023-03-24 02:13:00,22.94,Fashion,Credit Card,POS,Hyderabad,0,14,41.21,1843,No,0,2,24,3,Friday,0,0.5566610046105315,0.007596310363537711
T100106,CUST5225,2023-08-01 15:23:00,42.26,Grocery,Credit Card,Desktop,Delhi,0,37,108.04,696,No,0,15,1,8,Tuesday,0,0.3911514253980007,0.05316091954022988
T100107,CUST8766,2023-06-30 03:33:00,112.7,Food,Credit Card,POS,Kolkata,0,27,317.37,480,No,0,3,30,6,Friday,0,0.35510602766487065,0.05625
T100108,CUST9026,2023-11-26 02:23:00,20.78,Fashion,UPI,Mobile,Kolkata,0,152,159.14,623,No,1,2,26,11,Sunday,1,0.13057685057182358,0.24398073836276082
T100109,CUST9033,2023-12-27 06:53:00,6.41,Grocery,Credit Card,POS,Kolkata,0,64,430.67,1250,No,0,6,27,12,Wednesday,0,0.014883785729212623,0.0512
T100110,CUST3953,2024-02-14 08:48:00,27.37,Health,PayPal,Mobile,Delhi,0,70,78.31,427,No,0,8,14,2,Wednesday,0,0.3495083641935896,0.16393442622950818
T100111,CUST3617,2024-02-21 04:08:00,14.06,Utilities,Credit Card,POS,Chennai,0,154,481.95,950,No,0,4,21,2,Wednesday,0,0.029173150741778193,0.16210526315789472
T100112,CUST3984,2023-08-10 10:57:00,212.4,Health,NetBanking,POS,Kolkata,0,182,457.06,1105,No,0,10,10,8,Thursday,0,0.46470922854767427,0.16470588235294117
T100113,CUST2479,2023-08-31 02:43:00,132.07,Food,Debit Card,Desktop,Delhi,0,15,444.89,1788,No,0,2,31,8,Thursday,0,0.29685989795230283,0.008389261744966443
T100114,CUST2620,2023-12-26 11:38:00,80.28,Grocery,NetBanking,POS,Hyderabad,0,29,94.8,1522,No,0,11,26,12,Tuesday,0,0.8468354430379748,0.019053876478318004
T100115,CUST5219,2023-09-24 00:09:00,164.12,Health,UPI,Mobile,Kolkata,0,74,171.45,1421,No,0,0,24,9,Sunday,1,0.9572470107903179,0.05207600281491907
T100116,CUST7975,2023-06-18 04:34:00,130.24,Grocery,Credit Card,POS,Mumbai,0,28,404.01,1427,No,0,4,18,6,Sunday,1,0.32236825821143045,0.019621583742116328
T100117,CUST7539,2024-01-28 04:56:00,16.52,Fashion,Credit Card,Mobile,Chennai,0,59,405.83,1112,No,0,4,28,1,Sunday,1,0.04070669984969076,0.053057553956834536
T100118,CUST1517,2023-07-17 13:56:00,178.47,Food,PayPal,Mobile,Mumbai,0,73,355.54,323,No,0,13,17,7,Monday,0,0.5019688361365809,0.2260061919504644
T100119,CUST8363,2023-05-16 11:23:00,62.01,Health,Credit Card,POS,Hyderabad,0,149,229.54,817,No,0,11,16,5,Tuesday,0,0.27014899363945283,0.18237454100367198
T100120,CUST6820,2023-07-09 18:48:00,131.79,Entertainment,NetBanking,Desktop,Chennai,0,10,162.68,1899,No,0,18,9,7,Sunday,1,0.8101180231128595,0.0052659294365455505
T100121,CUST8212,2023-07-04 13:41:00,181.14,Fashion,UPI,POS,Mumbai,0,132,481.85,1841,No,0,13,4,7,Tuesday,0,0.3759261180865414,0.07170016295491581
T100122,CUST4467,2023-10-19 20:05:00,30.62,Utilities,Debit Card,POS,Chennai,0,62,78.24,981,No,0,20,19,10,Thursday,0,0.39135991820040905,0.06320081549439348
T100123,CUST2592,2023-10-13 04:56:00,9.33,Entertainment,Credit Card,Desktop,Hyderabad,0,132,31.44,898,No,1,4,13,10,Friday,0,0.2967557251908397,0.14699331848552338
T100124,CUST6576,2023-11-14 10:41:00,20.69,Entertainment,Debit Card,Mobile,Pune,0,127,14.47,139,No,0,10,14,11,Tuesday,0,1.4298548721492743,0.9136690647482014
T100125,CUST2528,2023-06-19 17:23:00,44.56,Electronics,Credit Card,POS,Kolkata,0,6,389.76,1595,No,0,17,19,6,Monday,0,0.11432676518883417,0.003761755485893417
T100126,CUST1719,2023-05-05 02:58:00,136.31,Electronics,UPI,Desktop,Chennai,0,80,37.79,136,No,0,2,5,5,Friday,0,3.607038899179677,0.5882352941176471
T100127,CUST7173,2023-03-25 15:32:00,157.71,Food,NetBanking,Desktop,Kolkata,0,72,273.94,1042,No,0,15,25,3,Saturday,1,0.5757100094911295,0.0690978886756238
T100128,CUST4829,2023-12-15 23:14:00,0.56,Health,UPI,Mobile,Kolkata,0,16,189.97,326,No,0,23,15,12,Friday,0,0.002947833868505554,0.049079754601226995
T100129,CUST6110,2023-02-04 21:50:00,57.19,Health,Debit Card,Desktop,Pune,0,38,81.98,1905,No,0,21,4,2,Saturday,1,0.6976091729690168,0.01994750656167979
T100130,CUST5005,2023-09-22 20:59:00,43.22,Health,Credit Card,Mobile,Hyderabad,0,177,372.89,868,No,0,20,22,9,Friday,0,0.11590549491807235,0.20391705069124424
T100131,CUST6566,2023-11-26 08:03:00,20.09,Grocery,Debit Card,POS,Chennai,0,189,36.95,1884,No,0,8,26,11,Sunday,1,0.5437077131258456,0.10031847133757962
T100132,CUST6348,2024-01-09 19:08:00,10.21,Fashion,NetBanking,Desktop,Chennai,0,65,166.01,1148,No,0,19,9,1,Tuesday,0,0.06150231913740137,0.05662020905923345
T100133,CUST3810,2023-03-08 20:01:00,32.95,Health,UPI,POS,Pune,0,126,285.47,1850,No,0,20,8,3,Wednesday,0,0.11542368725260098,0.0681081081081081
T100134,CUST2593,2023-09-10 11:10:00,229.05,Fashion,Debit Card,Desktop,Delhi,0,83,207.18,1772,No,0,11,10,9,Sunday,1,1.1055603822762816,0.04683972911963882
T100135,CUST1395,2023-02-28 00:53:00,31.23,Food,Debit Card,Desktop,Pune,0,178,136.98,1014,No,0,0,28,2,Tuesday,0,0.22798948751642578,0.1755424063116371
T100136,CUST3107,2023-11-23 06:56:00,58.52,Entertainment,NetBanking,POS,Pune,1,17,463.74,874,No,0,6,23,11,Thursday,0,0.12619140035364645,0.019450800915331808
T100137,CUST6424,2023-06-16 00:02:00,97.13,Health,Credit Card,Desktop,Pune,0,113,466.18,1737,No,0,0,16,6,Friday,0,0.20835299669655497,0.06505469199769717
T100138,CUST2117,2023-01-11 18:28:00,36.16,Food,Debit Card,POS,Hyderabad,1,156,213.89,1525,No,0,18,11,1,Wednesday,0,0.16905886203188555,0.10229508196721311
T100139,CUST5188,2023-01-22 18:03:00,285.42,Health,NetBanking,POS,Bengaluru,0,172,202.93,108,Yes,1,18,22,1,Sunday,1,1.4064948504410388,1.5925925925925926
T100140,CUST1053,2024-01-31 11:21:00,262.56,Electronics,Credit Card,Mobile,Pune,0,140,160.62,1303,No,0,11,31,1,Wednesday,0,1.634665670526709,0.10744435917114352
T100141,CUST8610,2023-06-08 05:21:00,23.2,Travel,Credit Card,POS,Chennai,0,70,429.32,759,No,1,5,8,6,Thursday,0,0.054038945308860525,0.0922266139657444
T100142,CUST2842,2023-09-23 19:24:00,55.01,Food,UPI,Mobile,Mumbai,0,71,288.28,368,No,0,19,23,9,Saturday,1,0.19082142361592896,0.19293478260869565
T100143,CUST7187,2023-02-14 01:22:00,28.63,Health,NetBanking,POS,Delhi,0,131,53.87,86,No,0,1,14,2,Tuesday,0,0.531464637089289,1.5232558139534884
T100144,CUST2644,2023-02-08 07:54:00,26.82,Utilities,Credit Card,Desktop,Pune,0,49,428.13,949,No,0,7,8,2,Wednesday,0,0.06264452385957536,0.051633298208640675
T100145,CUST7560,2024-01-29 10:47:00,3.01,Travel,UPI,POS,Pune,1,21,272.09,176,No,0,10,29,1,Monday,0,0.011062516079238487,0.11931818181818182
T100146,CUST9228,2023-10-23 13:50:00,75.24,Food,PayPal,Desktop,Delhi,0,136,213.64,775,No,0,13,23,10,Monday,0,0.35218123946826435,0.17548387096774193
T100147,CUST6253,2023-10-09 17:52:00,55.88,Utilities,NetBanking,Mobile,Pune,0,64,175.55,1070,No,0,17,9,10,Monday,0,0.3183138706921105,0.059813084112149535
